Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greenland,GRL,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,"Air transport, passengers carried",IS.AIR.PSGR,156000,165000,230000,240000,252000,300000,300000,508400,506400,,,,,,,,,,,,313892,326146.2062,288013.9008,78264,69768,93129,111830,155524,145795,107350,25217.454
Guam,GUM,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,1255510,1172372,,,,,,,,,,,
Guyana,GUY,"Air transport, passengers carried",IS.AIR.PSGR,145700,111900,115300,115300,115300,121100,126000,126000,125500,70400,73256,47800,,,,,,,,,273160,340267.6232,247780.3477,0,0,,,,26069,28697,17990
High income,HIC,"Air transport, passengers carried",IS.AIR.PSGR,851969816,832564904,879979492,900581616,977879104,1030647140,1110291304,1165455692,1180309480,1270658500,1363760256,1316026038,1286689975,1314051904,1459525526,1503719024,1556586138,1630088007,1599454256,1591691723,1762646495,1819266502,1847214142,1911553324,1989729072,2109935296,2231105946,2339259614,2453690621,2707599615,902722636.1
"Hong Kong SAR, China",HKG,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,5957200,12254000,12592600,14377973,14064286,15636216,13024791,17892816,20229512,21796158,24133664,25401266,23973030,28347688,30293677,32247332.08,34644497,37933773,41867157,43683583,45580297,47101822,46469864,5878548
Honduras,HND,"Air transport, passengers carried",IS.AIR.PSGR,609700,447300,437500,602200,,,,,,,,,,,,,,,,,501520,423655.3256,422016.8876,372972,239124,276689,275587,248964,411989,321243,91973
Heavily indebted poor countries (HIPC),HPC,"Air transport, passengers carried",IS.AIR.PSGR,7434000,6618700,6719700,6433300,6139600,6114500,6751600,6925200,6968200,6849500,6492929,5967306,,,,,,,,,14165092.23,17296028.46,18073364.03,18079383.82,19361000.32,20661772,20915140,23844385.43,26411525.91,27353506.87,12656138.62
Croatia,HRV,"Air transport, passengers carried",IS.AIR.PSGR,,113400,215100,432200,624000,644.1,727200,767200,920000,926000,1072000,1245000,1356000,1582000,1743000,2099000,2148000,1545318,1752603,1679197,1577226,1812519,1872799,1716702,1756070,1782666,1875433,2057804,2093577,2108591,608458
Haiti,HTI,"Air transport, passengers carried",IS.AIR.PSGR,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23119
